Number of total signals to train: 802
Number of total signals to test: 141
Number of train signals: 263
Number of testing signals: 40
Epoch: 001, Train_acc: 0.3878, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 002, Train_acc: 0.4183, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 003, Train_acc: 0.4183, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 004, Train_acc: 0.4183, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 005, Train_acc: 0.4183, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 006, Train_acc: 0.4183, Test_acc: 0.3750, LR: 0.0050000000
Epoch: 007, Train_acc: 0.4259, Test_acc: 0.4250, LR: 0.0050000000
Epoch: 008, Train_acc: 0.5551, Test_acc: 0.4250, LR: 0.0050000000
Epoch: 009, Train_acc: 0.4677, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 010, Train_acc: 0.5589, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 011, Train_acc: 0.5247, Test_acc: 0.3750, LR: 0.0050000000
Epoch: 012, Train_acc: 0.6046, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 013, Train_acc: 0.5475, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 014, Train_acc: 0.5817, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 015, Train_acc: 0.6502, Test_acc: 0.3500, LR: 0.0050000000
Epoch: 016, Train_acc: 0.6198, Test_acc: 0.3750, LR: 0.0050000000
Epoch: 017, Train_acc: 0.6616, Test_acc: 0.4000, LR: 0.0050000000
Epoch: 018, Train_acc: 0.6578, Test_acc: 0.3750, LR: 0.0050000000
Epoch: 019, Train_acc: 0.6464, Test_acc: 0.3750, LR: 0.0050000000
Epoch: 020, Train_acc: 0.6730, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 021, Train_acc: 0.6768, Test_acc: 0.3750, LR: 0.0050000000
Epoch: 022, Train_acc: 0.6730, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 023, Train_acc: 0.6730, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 024, Train_acc: 0.6844, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 025, Train_acc: 0.6844, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 026, Train_acc: 0.6844, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 027, Train_acc: 0.6844, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 028, Train_acc: 0.6844, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 029, Train_acc: 0.6844, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 030, Train_acc: 0.6882, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 031, Train_acc: 0.6882, Test_acc: 0.2750, LR: 0.0050000000
Epoch: 032, Train_acc: 0.6920, Test_acc: 0.2750, LR: 0.0050000000
Epoch: 033, Train_acc: 0.6920, Test_acc: 0.2750, LR: 0.0050000000
Epoch: 034, Train_acc: 0.6958, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 035, Train_acc: 0.7034, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 036, Train_acc: 0.7072, Test_acc: 0.3500, LR: 0.0050000000
Epoch: 037, Train_acc: 0.7262, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 038, Train_acc: 0.7605, Test_acc: 0.3750, LR: 0.0050000000
Epoch: 039, Train_acc: 0.7947, Test_acc: 0.2500, LR: 0.0050000000
Epoch: 040, Train_acc: 0.6958, Test_acc: 0.2750, LR: 0.0050000000
Epoch: 041, Train_acc: 0.7795, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 042, Train_acc: 0.7909, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 043, Train_acc: 0.7757, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 044, Train_acc: 0.7719, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 045, Train_acc: 0.7719, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 046, Train_acc: 0.7757, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 047, Train_acc: 0.7833, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 048, Train_acc: 0.7985, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 049, Train_acc: 0.8061, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 050, Train_acc: 0.8251, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 051, Train_acc: 0.8403, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 052, Train_acc: 0.8631, Test_acc: 0.2750, LR: 0.0050000000
Epoch: 053, Train_acc: 0.8707, Test_acc: 0.2500, LR: 0.0050000000
Epoch: 054, Train_acc: 0.8631, Test_acc: 0.2250, LR: 0.0050000000
Epoch: 055, Train_acc: 0.8821, Test_acc: 0.2500, LR: 0.0050000000
Epoch: 056, Train_acc: 0.8859, Test_acc: 0.2500, LR: 0.0050000000
Epoch: 057, Train_acc: 0.8859, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 058, Train_acc: 0.8859, Test_acc: 0.2750, LR: 0.0050000000
Epoch: 059, Train_acc: 0.8935, Test_acc: 0.2500, LR: 0.0050000000
Epoch: 060, Train_acc: 0.8973, Test_acc: 0.2500, LR: 0.0050000000
Epoch: 061, Train_acc: 0.8973, Test_acc: 0.2750, LR: 0.0050000000
Epoch: 062, Train_acc: 0.8973, Test_acc: 0.2750, LR: 0.0050000000
Epoch: 063, Train_acc: 0.8973, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 064, Train_acc: 0.8973, Test_acc: 0.3000, LR: 0.0050000000
Epoch: 065, Train_acc: 0.8973, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 066, Train_acc: 0.9011, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 067, Train_acc: 0.9011, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 068, Train_acc: 0.9011, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 069, Train_acc: 0.9011, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 070, Train_acc: 0.9125, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 071, Train_acc: 0.9125, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 072, Train_acc: 0.9125, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 073, Train_acc: 0.9125, Test_acc: 0.3250, LR: 0.0050000000
Epoch: 074, Train_acc: 0.9125, Test_acc: 0.2750, LR: 0.0050000000
Epoch: 075, Train_acc: 0.9125, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 076, Train_acc: 0.9163, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 077, Train_acc: 0.9163, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 078, Train_acc: 0.9202, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 079, Train_acc: 0.9240, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 080, Train_acc: 0.9240, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 081, Train_acc: 0.9240, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 082, Train_acc: 0.9240, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 083, Train_acc: 0.9278, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 084, Train_acc: 0.9278, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 085, Train_acc: 0.9278, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 086, Train_acc: 0.9278, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 087, Train_acc: 0.9278, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 088, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 089, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 090, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 091, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 092, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 093, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 094, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 095, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0005000000
Epoch: 096, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0000500000
Epoch: 097, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0000500000
Epoch: 098, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0000500000
Epoch: 099, Train_acc: 0.9316, Test_acc: 0.2750, LR: 0.0000500000
Finished trainning...Evaluating model
Best model has train acuracy: 0.8631178707224335
Best model has test acuracy: 0.225
Last model has train acuracy: 0.9315589353612167
Last model has test acuracy: 0.275
